Ticker,Category,SP-Rank,Morningstar,MS-Risk,NetAssets,YTD-return,Return-5Y-Avg,YearsUP,YearsDOWN,Best-1Y-Return,Worst-1Y-Return,Best-3Y-Return,Worst-3Y-Return,LAR-1Y,LAR-3Y,LAR-5Y,LAR-10Y,PropCash,PropStocks,PropBonds,PropOther,PropTop10Hold,EqHldPE,EqHldPB,EqHldPS,EqHldPCF,EqHldMedMktCap,EqHld3Y-EarnGr,PropBM,PropCC,PropFS,PropRE,PropCD,PropHC,PropU,PropCS,PropE,PropI,PropT,Best1Y-Return,Worst1Y-Return,Alpha1Y,Beta1Y,MeanRet1Y,R-square1Y,StdDev1Y,Sharpe1Y,Treynor1Y,Alpha3Y,Beta3Y,MeanRet3Y,R-square3Y,StdDev3Y,Sharpe3Y,Treynor3Y
OTPIX,Large Growth,3,6,4,60680000,0.202,0.1384,9,3,0.5192,-0.4231,0.2202,-0.1469,0.1418,0.1609,0.1384,0.0842,31.54,68.45,0,0,47.97,17.7,2.92,2.07,9.95," 72,730.00 ",0.2808,0.39,16.11,0,0,5.28,13.67,0,5.78,0,3.9,54.87,0.5192,-0.4231,0.35,0.98,1.33,79.65,13.59,1.16,16.38,3.69,1,1.24,85.96,19.5,0.76,13.72
PABYX,Moderate Allocation,4,1,4,1330000000,0.115,0.0982,13,5,0.3566,-0.3308,0.1571,-0.0828,0.1296,0.108,0.0982,0.0682,20.52,45.35,32.01,1.72,15.86,13.89,1.84,1.05,5.91," 26,640.00 ",0.1755,4.51,11.97,14.39,3.63,9.08,12.57,1.91,4.38,8.93,11.83,16.81,0.3566,-0.3308,0.54,1.09,0.89,97.52,9.36,1.14,9.8,0.51,1.14,0.87,92.03,14.22,0.72,8.52
PACAX,Conservative Allocation,3,5,3,542920000,0.0529,0.0794,14,4,0.3047,-0.2409,0.136,-0.0567,0.0034,0.048,0.0667,0.0458,13.96,34.88,48.89,1.66,23.02,13.8,1.84,1.04,5.71," 28,640.00 ",0.1703,4.58,11.9,14.59,3.55,9.45,12.55,2.06,4.54,8.9,11.69,16.17,0.3047,-0.2409,0.98,0.62,0.57,92.16,5.5,1.23,10.9,1.96,0.7,0.68,77.7,9.55,0.84,11.12
PAITX,Foreign Large Growth,3,1,3,10810000000,0.092,0.0776,8,4,0.5197,-0.4812,0.2002,-0.1126,0.1516,0.0665,0.0776,0.0758,1.64,96.54,1.71,0.11,14.88,14.96,1.85,1.46,7.42," 21,760.00 ",0.1551,7.16,19.78,16.4,4.05,7.8,7,0.27,6.93,5.31,12.98,12.31,0.5197,-0.4812,-1.3,0.96,0.66,91.07,17.44,0.45,6.86,1.34,1.05,0.87,93.53,24.12,0.43,7.26
PALTX,Retirement Income,3,7,2,769950000,0.0262,0.0603,6,1,0.1816,-0.2259,0.1055,-0.0519,-0.0021,0.0434,0.0522,0.0414,28.61,18.12,47.4,0.67,84.53,13.83,1.89,1.22,6.53," 23,280.00 ",0.1523,4.04,12.15,16,4.66,5.89,10.2,4.89,4.49,15.57,10.79,11.32,0.1816,-0.2259,0.84,0.51,0.47,86.14,4.65,1.2,10.96,0.53,0.65,0.52,88.46,8.22,0.74,9.15
PAMGX,Conservative Allocation,2,2,5,244780000,0.096,0.0709,10,4,0.2643,-0.2852,0.1451,-0.0586,0.0463,0.0668,0.0589,0.0559,4.31,95.41,0,0.28,25.12,15.3,2.15,1.37,7.21," 57,500.00 ",0.0783,2.02,6.76,11.61,1.53,18.37,18.18,10.34,11.48,6.07,5.9,7.74,0.2643,-0.2852,-1.11,1.06,0.73,94.7,9.23,0.94,8.12,-1.57,1.06,0.64,97.46,12.91,0.59,6.56
PASMX,Small Blend,4,1,5,162350000,0.3956,0.1245,14,5,0.8321,-0.4352,0.3957,-0.0747,0.3587,0.2466,0.1113,0.1472,0,99.39,0,0.61,46.58,14.76,1.87,0.55,4.32,796.64,0.3457,3.58,27.59,6.23,0,0,3.34,0,3.52,11.47,40.89,3.38,0.8321,-0.4352,0.38,1.67,2.25,77.62,23.55,1.14,16.18,-0.86,1.6,1.42,80.69,32.18,0.52,7.72
PASVX,Small Blend,3,8,2,8950000000,0.2073,0.1077,8,4,0.3624,-0.2874,0.2288,-0.0624,0.2596,0.1762,0.1077,0.1098,5.52,93.13,0.29,0.45,15.11,16.79,1.77,1.15,7.7," 1,300.00 ",0.2196,8.59,12.9,17.3,7.42,2.04,4.12,4.68,0.32,4.55,25.87,12.21,0.3624,-0.2874,-1.18,1.18,1.46,86.06,15.74,1.11,14.91,-0.3,1.16,1.06,89.78,22.19,0.57,9.16
PBCCX,Moderate Allocation,2,6,3,61540000,0.0961,0.0659,8,4,0.2103,-0.2788,0.1051,-0.0503,0.0977,0.0927,0.0659,0.0513,4.56,60.37,34.63,0.33,25.38,14.56,1.96,1.2,7.01," 24,960.00 ",0.1916,4.04,14.89,18.33,2.08,8.95,11.35,1.85,3.45,8.67,12.18,14.22,0.2103,-0.2788,-0.85,1.09,0.78,97.87,9.33,0.99,8.41,-1.96,1.05,0.6,98.41,12.7,0.56,6.15
PBQFX,Large Growth,3,1,4,1100000000,0.2227,0.0981,25,5,0.4161,-0.4156,0.1827,-0.115,0.1851,0.124,0.0967,0.0783,1.08,98.92,0,0,13.9,18,2.07,1.24,7.26," 14,810.00 ",0.1846,2.53,17.83,15.68,1.71,6.6,13.6,1.58,4.6,9.15,10.44,16.28,0.4161,-0.4156,-5.29,1.19,1.13,92.35,15.33,0.88,11.04,-0.36,1.04,0.94,92.08,19.64,0.57,9.3
